Name ;Comment URL;Content;Date;emocion
Lore buenrostro;https://www.tiktok.com/@loreli.buenrostro/video/7354011532155489541?comment_id=7366240417249379077;lo peor que puede pasar casi 5 meses con ella y apenas creo que estoy saliendo de ello;2024-05-07 12:55:10;Tristeza
Alex.;https://www.tiktok.com/@chancesalecx/video/7354011532155489541?comment_id=7366917560682070789;esa sensación la siento desde que mi perrita dejo este mundo, las cosas no han sido igual desde que ya no está ella;2024-05-09 08:42:54;Tristeza
MJCR;https://www.tiktok.com/@maykolchavez18/video/7354011532155489541?comment_id=7367615122523702022;😔;2024-05-11 05:49:53;Tristeza
Benja..;https://www.tiktok.com/@benjaminemmerson/video/7354011532155489541?comment_id=7367807523023946502;ahhh ya van 4 años;2024-05-11 18:16:21;Tristeza
yani👻🔦;https://www.tiktok.com/@yanethyanipalomin/video/7354011532155489541?comment_id=7367815932007891717;🥺y que pasa cuando eres feliz con todos y en la noche lloras;2024-05-11 18:49:00;Tristeza
Jean Amilcar!;https://www.tiktok.com/@amilcar6324/video/7354011532155489541?comment_id=7367891956280541958;y si la tristeza ha durado 4 años?;2024-05-11 23:44:10;Tristeza
azalea;https://www.tiktok.com/@azaleamuunfer/video/7354011532155489541?comment_id=7368167264615400197;desde que tengo memoria siempre me he sentido triste;2024-05-12 17:32:22;Tristeza
Boris Edward Cancino;https://www.tiktok.com/@todosobreed/video/7354011532155489541?comment_id=7368306147877339910;😭😭😭;2024-05-13 02:31:21;Tristeza
ALMADAUWU;https://www.tiktok.com/@alamdaxd/video/7354011532155489541?comment_id=7368314384428352262;2 semanas? y si llevo 7 años;2024-05-13 03:03:13;Tristeza
Elvia Hernandez Hernandez;https://www.tiktok.com/@isabelhernandezlemus/video/7354011532155489541?comment_id=7368622214001033990;muy cierto 💔💔😥😥;2024-05-13 22:57:58;Tristeza
gabryel_py;https://www.tiktok.com/@gabryel_py/video/7354011532155489541?comment_id=7368635829566276357;y si llevo con esto años.?;2024-05-13 23:50:37;Tristeza
Sebas Eduar Molina;https://www.tiktok.com/@eduar_mol23/video/7354011532155489541?comment_id=7368696521867150086;una vez me dijeron que soy inconforme o que no soy agradecido por lo que tengo porque me siento mal con respecto a la mayoría de las cosas que me suceden;2024-05-14 03:46:11;Tristeza
Fernando Mancilla;https://www.tiktok.com/@fer.mnc7/video/7354011532155489541?comment_id=7368706161027351302;sisoy;2024-05-14 04:23:32;Alegría
santiag1900;https://www.tiktok.com/@santiag1900/video/7354011532155489541?comment_id=7368708825326043909;2 semanas?? jaaa, novatos;2024-05-14 04:34:02;Ira
Cosinas;https://www.tiktok.com/@lejendario75/video/7354011532155489541?comment_id=7368719473115972358;oye oye me paso eso 😄;2024-05-14 05:15:20;Alegría
Aldair Ruiz;https://www.tiktok.com/@aldairruiz5/video/7354011532155489541?comment_id=7368906044527805190;La verdad que yo si quiero que me ayuden, paso todo el día triste, no puedo dormir, ya llevo varios años así, siento que ya no puedo más, me he quedado solo sin amigos. 😔;2024-05-14 17:19:15;Tristeza
SEPULVEDA LILI;https://www.tiktok.com/@lili30sepulveda/video/7354011532155489541?comment_id=7368978651734115078;yo aquí por mi tercera semana de sentirme asi🥺🥺mal con pena y queriendo no sentirla pero ahí esta🥺🥺;2024-05-14 22:01:00;Tristeza
Javier CG;https://www.tiktok.com/@javiercg28/video/7354011532155489541?comment_id=7368981286327780102;😕;2024-05-14 22:11:19;Tristeza
Ant;https://www.tiktok.com/@kardiagared/video/7354011532155489541?comment_id=7369020890837861126;😔💔;2024-05-15 00:45:01;Tristeza
Dani;https://www.tiktok.com/@le_dorothy/video/7354011532155489541?comment_id=7369050307520873221;no es solo la tristeza puede ser también el enojo que es una forma de expresar angustia acompañado de la pérdida del disfrute, sin mencionar la sintomatología a nivel físico que es muy variada.;2024-05-15 02:38:59;Ira
Sandy 🦋;https://www.tiktok.com/@sandy.jadhe/video/7354011532155489541?comment_id=7369061690337723141;🥺💔;2024-05-15 03:23:08;Tristeza
melisakim10;https://www.tiktok.com/@melisakim10/video/7354011532155489541?comment_id=7369389350246957829;yo siempre estoy asi;2024-05-16 00:34:42;Tristeza
𝓰𝓻𝓮𝓬𝓲𝓪🤎;https://www.tiktok.com/@grecia.03_/video/7354011532155489541?comment_id=7369722407265878789;Amo maquillar es mi profesión pero ahora simplemente ya no quiero no me hace sentir bien prefiero dormir;2024-05-16 22:07:15;Tristeza
Sebastian Torres Vel;https://www.tiktok.com/@sebasito23/video/7354011532155489541?comment_id=7370895389945365254;ah eso era Carajo....;2024-05-20 01:58:52;Ira
usernameblocked224;https://www.tiktok.com/@usernameblocked224/video/7354011532155489541?comment_id=7371075314356077318;Y por último, debe ser diagnosticado por un especialista, no ustedes mismos💗;2024-05-20 13:37:05;Alegría
🦦;https://www.tiktok.com/@lachachi.01/video/7354011532155489541?comment_id=7371080397610861317;😞;2024-05-20 13:56:48;Tristeza
Jean 🦦;https://www.tiktok.com/@jeanstar7.20/video/7354011532155489541?comment_id=7371152166578946822;llevo 5 años :c;2024-05-20 18:35:18;Tristeza
Alex;https://www.tiktok.com/@lalalale_x/video/7354011532155489541?comment_id=7371286299829371654;yo no siento tristeza, sino un vacío por todo...;2024-05-21 03:15:46;Tristeza
𝓓𝓪𝔂𝓪𝓷𝓪 🎀;https://www.tiktok.com/@dallani_li/video/7354011532155489541?comment_id=7371725202512315141;Y si me pasa todo un mes y me da ansiedad y como como si nunca me lleno y sobrepienso cosas que no deberia;2024-05-22 07:38:57;Tristeza
Xi F. Roldán;https://www.tiktok.com/@xifroldn/video/7354011532155489541?comment_id=7372046452949943046;dos semanas llevo tres años;2024-05-23 04:25:30;Tristeza
Hector Rojas;https://www.tiktok.com/@hectorrojas11/video/7354011532155489541?comment_id=7372766250697229062;yo la cargo todos los día pero lo disfrazo muy bien para que nadie se de cuenta 🥺;2024-05-25 02:58:47;Tristeza
dara  Ángeles;https://www.tiktok.com/@angelasandovalreyn/video/7354011532155489541?comment_id=7373049146226164485;yo todos los días ando triste de motivación desinterés lo que solía hacer 😭;2024-05-25 21:16:39;Tristeza
señor pedos🍑💨;https://www.tiktok.com/@lareconchasumadr/video/7354011532155489541?comment_id=7373059344844161798;🤡quedé . y llevo años así y hasta me siento seguro con la tristeza. aunq duele pero me siento más confiado ahí . es como un jardín lleno de rosas con espinas quieres salir pero no puedes.;2024-05-25 21:56:13;Tristeza
🇻🇪JOSE🇻🇪;https://www.tiktok.com/@3manquito3/video/7354011532155489541?comment_id=7373483181654000389;y que hago para solucionar eso?;2024-05-27 01:20:50;Sorpresa
Alessa Danny;https://www.tiktok.com/@alessa.danny/video/7354011532155489541?comment_id=7373574112649937669;Más al contrario yo prefiero salir para olvidar no pensar estar en mi casa es un infierno no duermo. no disfruto nada actuó en automático;2024-05-27 07:13:40;Tristeza
JennieARMY;https://www.tiktok.com/@jk01.jk97/video/7354011532155489541?comment_id=7373674276777542405;La canción Black Swan lo describe muy bien.;2024-05-27 13:42:17;Tristeza
Daniela Bravo;https://www.tiktok.com/@danielabravo342/video/7354011532155489541?comment_id=7373751456224002822;🙏;2024-05-27 18:41:47;Alegría
Athreias Aveldin;https://www.tiktok.com/@athreias/video/7354011532155489541?comment_id=7373867493134189317;yo tengo distimia y TLP.;2024-05-28 02:12:12;Tristeza
🌥;https://www.tiktok.com/@pam_pam_sg/video/7354011532155489541?comment_id=7373893262790394630;la psicologa me diagnostico anhedonia... y no volvi a ir porq me empezo a hablar de pastillas;2024-05-28 03:52:06;Miedo
mauriciooween;https://www.tiktok.com/@mauriciooween/video/7354011532155489541?comment_id=7374008973794542342;llevo 5 años es normal 😂😂??;2024-05-28 11:21:08;Sorpresa
⭐Estrella⭐;https://www.tiktok.com/@estrella_1442/video/7354011532155489541?comment_id=7374572922654688005;yo q llevo 5 años sintiéndome mal triste un basio la mayor parte del tiempo;2024-05-29 23:49:38;Tristeza
K;https://www.tiktok.com/@bluudeath/video/7354011532155489541?comment_id=7375700112700064518;😭😭😭;2024-06-02 00:43:41;Tristeza
Alejandro Manoban;https://www.tiktok.com/@alejandromanoban/video/7354011532155489541?comment_id=7375788828323562246;2.semanas? y el DSM -V?????;2024-06-02 06:27:53;Sorpresa
marinaflores;https://www.tiktok.com/@marinaflores295/video/7354011532155489541?comment_id=7375873993247179526;dos años tarde en salir de ese abismo pero lo logré 😭👌👌👌;2024-06-02 11:58:21;Alegría
soy la mandarina de tu suga;https://www.tiktok.com/@enormesnampechos/video/7354011532155489541?comment_id=7376160123071595269;y cómo se trata la depresión sin medicamentos?;2024-06-03 06:28:48;Sorpresa
𝓙;https://www.tiktok.com/@httpx.joss/video/7354011532155489541?comment_id=7376176243991085829;Yo dejaba de comer hasta 3 días… no tenía un solo amigo a quien contarle nada y se me caía mucho el cabello :’);2024-06-03 07:31:15;Tristeza
Fernanda Ornelas;https://www.tiktok.com/@fernandaorc/video/7354011532155489541?comment_id=7376207484863152901;Me lleva la v;2024-06-03 09:32:37;Ira
lirio139;https://www.tiktok.com/@lilies_770/video/7354011532155489541?comment_id=7376285309447340805;yo tengo eso ☹️;2024-06-03 14:34:27;Tristeza
lsdblackk;https://www.tiktok.com/@lsdblackk/video/7354011532155489541?comment_id=7376320114977932037;No es tristeza .. solo que siento un espacio complejo .. algo que todo lo que veo no le siento el sentido el tacto .. el sentimiento ..;2024-06-03 16:49:30;Tristeza
amanda☠️;https://www.tiktok.com/@__nnam/video/7354011532155489541?comment_id=7376481932278219525;nmms y la solución?;2024-06-04 03:17:28;Ira
Mirian♥️;https://www.tiktok.com/@miri20.06/video/7354011532155489541?comment_id=7376486827745084166;🖤☹️;2024-06-04 03:36:33;Tristeza
nelsonoje;https://www.tiktok.com/@nelsonoje/video/7354011532155489541?comment_id=7377067133219947270;uufff🔥;2024-06-05 17:08:21;Alegría
Bailon Ff;https://www.tiktok.com/@dawmange_/video/7354011532155489541?comment_id=7377664772752147206;yo me siento sin ganas de nada ya llevo varias semanas y mis pensamientos me ganan.;2024-06-07 07:47:36;Tristeza
la profe 🌅;https://www.tiktok.com/@esteruzcategui/video/7354011532155489541?comment_id=7378266492850438917;llevo tres meses sin reírme si tiene motivo pero como lo arreglamos yo quería pero no me da algo esa situación;2024-06-08 22:42:30;Tristeza
Daniela Elizabeth J.;https://www.tiktok.com/@danielaelizabethj3/video/7354011532155489541?comment_id=7378374625996047109;llevo más de un mes;2024-06-09 05:42:03;Alegría
Antony Gutierrez;https://www.tiktok.com/@antonygutierrez33/video/7354011532155489541?comment_id=7378386148517774085;Yo quiero alejarme de todos...;2024-06-09 06:26:54;Tristeza
Daeon noead;https://www.tiktok.com/@daeon_noead/video/7354011532155489541?comment_id=7380300822755083040;dos años todos los días;2024-06-14 10:17:07;Alegría
Mayemaldflor;https://www.tiktok.com/@nayi16122/video/7354011532155489541?comment_id=7381299950784103174;yo amaba ir al gimnasio,antes cuando fallaba un día me ponía triste,pero ahora llevo 3 semanas sin ir y es por que ya no me gusta hacer ejercicio y yo amaba hacer ejercicio allá sacaba todo;2024-06-17 02:54:00;Tristeza
user15966535070;https://www.tiktok.com/@usuario3456120/video/7354011532155489541?comment_id=7381312423784399621;y si dura 4 años que es?😔;2024-06-17 03:42:24;Sorpresa
Jonathan Cardozo;https://www.tiktok.com/@jonatan_cardozo/video/7354011532155489541?comment_id=7381669242248430342;Llevo 32 años tratando de estar lejos de la gente 👀;2024-06-18 02:48:34;Tristeza
Fino Mp3;https://www.tiktok.com/@www.finomp3.com/video/7354011532155489541?comment_id=7381694223709602566;Ya no le encuentro el gusto a la vida 😌;2024-06-18 04:23:49;Tristeza
yo;https://www.tiktok.com/@3140mnd/video/7354011532155489541?comment_id=7381947579254915872;y si ya se llevan más de dos semanas así;2024-06-18 20:47:06;Sorpresa
Jesus C.;https://www.tiktok.com/@langosta.c46/video/7354011532155489541?comment_id=7383193494435431174;mi novia se volvió mi escape a ese sentimiento y eso me da temor... :(;2024-06-22 05:21:47;Miedo
tiktoker;https://www.tiktok.com/@user1tysjlj8am/video/7354011532155489541?comment_id=7384251870393123589;Ya llevo así más de un mes, y empeorando. 💀;2024-06-25 01:48:51;Tristeza
johana_lee;https://www.tiktok.com/@johana_lee/video/7354011532155489541?comment_id=7384299255156654854;llevo 7 meses así 😔🥀;2024-06-25 04:52:45;Tristeza
Novia de Adrián;https://www.tiktok.com/@zami.jc0/video/7354011532155489541?comment_id=7384652062154785542;llevo 3 años así;2024-06-26 03:41:52;Tristeza
MOLECOL;https://www.tiktok.com/@molecol/video/7354011532155489541?comment_id=7384698646924821253;tienen amigos 😅;2024-06-26 06:42:34;Alegría
M’ale;https://www.tiktok.com/@wttfmale/video/7354011532155489541?comment_id=7385841121563329286;yo no siento nada solo existo;2024-06-29 08:35:53;Tristeza
Angelo;https://www.tiktok.com/@angelop_3/video/7354011532155489541?comment_id=7386263241141617414;😱😱😱;2024-06-30 11:53:57;Sorpresa
lahealthcoachcyn;https://www.tiktok.com/@lahealthcoachcyn/video/7354011532155489541?comment_id=7386565894396232453;❤️;2024-07-01 07:28:24;Alegría
𝔾𝕒𝕓𝕪 💋;https://www.tiktok.com/@labella.ragazza/video/7354011532155489541?comment_id=7390813230241022725;llevo dos años 😊;2024-07-12 18:10:16;Alegría
CaLeL;https://www.tiktok.com/@calel_j/video/7354011532155489541?comment_id=7398190163102368518;la mayoria se da cuenta cuando la persona ya se a suicidado;2024-08-01 15:16:27;Ira
🖤;https://www.tiktok.com/@ajma13/video/7354011532155489541?comment_id=7406916892110209797;yo tengo depresion desde niña, en todo el proceso de aprender. a vivir con ello a dia de hoy con el afan de protegerme me siento vacia sin alma;2024-08-25 03:40:41;Tristeza
gustraitorrr;https://www.tiktok.com/@gustraitorrr/video/7354011532155489541?comment_id=7408408740138386181;2 semanas llevo como 6 años u.u;2024-08-29 04:09:48;Tristeza
Videos random;https://www.tiktok.com/@videos.random925/video/7354011532155489541?comment_id=7409815354866713377;voy luchando con eso ya 5 años y todos piensan que estoy loco o spu debil 😢;2024-09-01 23:08:14;Tristeza
Hansen 🖤;https://www.tiktok.com/@hansenanariba4/video/7354011532155489541?comment_id=7411615427660366598;Me siento triste y frustrado todos los días de mi vida y una tristeza horrible;2024-09-06 19:33:16;Tristeza
fercho;https://www.tiktok.com/@ferchogym4/video/7354011532155489541?comment_id=7411703108621239046;mmm tengo un cuarto de presión;2024-09-07 01:13:33;Tristeza
Tannya verdugo;https://www.tiktok.com/@tannyaverdugo/video/7354011532155489541?comment_id=7416562196266500869;😳😳😳;2024-09-20 03:29:23;Tristeza
Marketing | Diseños | Utah;https://www.tiktok.com/@isavpf/video/7354011532155489541?comment_id=7416833836770558750;Por eso nunca he entendido cómo la gente te dice “ya se te va a quitar” “cómo no estás feliz”, tomo escitalopram, tenía miedo de tomar eso pero leí un libro de autoayuda que no tiene optimismo tóxico;2024-09-20 21:03:28;Miedo
Jacqui Torres;https://www.tiktok.com/@jacquitorres13/video/7354011532155489541?comment_id=7421467507993166597;🥺;2024-10-03 08:44:32;Tristeza
Makel_arvac16🇧🇴🇧🇷;https://www.tiktok.com/@makel_arvac16/video/7354011532155489541?comment_id=7425037594423411462;ayer salí con mis amigos y no sentía nada ni siquiera me reí;2024-10-12 23:38:15;Tristeza
Juvi;https://www.tiktok.com/@ju4201305/video/7354011532155489541?comment_id=7428803612094432005;😳😳😳;2024-10-23 03:12:20;Tristeza
🖇️🚶🏻Yam;https://www.tiktok.com/@dulcebtz7/video/7354011532155489541?comment_id=7436991057760928567;🥰🥰🥰;2024-11-14 04:44:15;Alegría
caarmensb;https://www.tiktok.com/@caarmensb/video/7354011532155489541?comment_id=7442237461881324321;😍😍😍;2024-11-28 08:03:30;Alegría
tu Papi 😍;https://www.tiktok.com/@gta_dani1/video/7354011532155489541?comment_id=7448830699803443973;😔😔😔;2024-12-16 02:27:56;Tristeza
tu Papi 😍;https://www.tiktok.com/@gta_dani1/video/7354011532155489541?comment_id=7448831191287186181;🥰;2024-12-16 02:29:47;Alegría
🇨🇱;https://www.tiktok.com/@hola_comoestan1.0/video/7354011532155489541?comment_id=7453618735032124166;si yo me corto con cuchillos es depresión sentirme feliz pero cuando me calmo y me pongo a pensar en cualquier de repente me pongo triste y a sentirme triste y pensar como ☠️a mi misma es depresión?;2024-12-29 00:07:54;Tristeza
julioantoniopizan;https://www.tiktok.com/@julioantoniopizan/video/7354011532155489541?comment_id=7455896401995088646;😂;2025-01-04 03:26:21;Alegría
sebastian;https://www.tiktok.com/@sebas_millan.ariza/video/7354011532155489541?comment_id=7461122464060736261;🥰;2025-01-18 05:26:32;Alegría
andreadelgadob;https://www.tiktok.com/@andreadelgadob/video/7354011532155489541?comment_id=7462958283608785669;😞;2025-01-23 04:10:32;Tristeza
Yours ever;https://www.tiktok.com/@yoursever..hill/video/7354011532155489541?comment_id=7489654205314106119;💔;2025-04-05 02:43:46;Tristeza
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189130529424134;♥️;2025-05-14 06:47:40;Alegría
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189242944422662;💔;2025-05-14 06:47:44;Tristeza
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189122581611270;♥️;2025-05-14 06:47:46;Alegría
Yasiry Taliza González Hernánd;https://www.tiktok.com/@yasiry.taliza.gon/video/7354011532155489541?comment_id=7504189224498365239;😍;2025-05-14 06:47:49;Alegría
Florcita1979;https://www.tiktok.com/@florcitacarp1979/video/7354011532155489541?comment_id=7504791121412981509;😁;2025-05-15 21:43:06;Alegría
𝐝𝐞𝐧𝐢;https://www.tiktok.com/@denisezro/video/7354011532155489541?comment_id=7508347621963465477;dejen de relacionar la tristeza visible con la depresión, tener depresión no siempre es visible o es estar siempre triste y que se note;2025-05-25 11:43:42;Ira
alex_;https://www.tiktok.com/@spam184881/video/7354011532155489541?comment_id=7512548336659448606;tenemos la idea de que la depresión es solo tristeza no todas las personas sienten tristeza a veces puede estar disfrazada de enojo frustración irritabilidad;2025-06-05 19:24:48;Ira
andy ۫ ꣑ৎ;https://www.tiktok.com/@fridaylooq/video/7354011532155489541?comment_id=7514785052288598792;a mí me pasa algo bueno o no tan malo y me pongo triste, hay algo que me gusta y lo estoy, siento tristeza todo el tiempo, tengo ganas de llorar siempre no importa que me pase sea bueno o malo siento tanta tristeza todos los días;2025-06-11 20:04:14;Tristeza
Alee.;https://www.tiktok.com/@hasbeck.luciano/video/7354011532155489541?comment_id=7520669559126541072;tenemos tan poco normalizado estar tristes que cuando lo estamos la gente piensa que es un problema, permitirse no estar bien aveces también es salud mental;2025-06-27 16:39:11;Ira
𝓐𝓵𝓮𝔁𝓲𝓪🤍;https://www.tiktok.com/@alexiadavalos_/video/7354011532155489541?comment_id=7532758652655059718;😍;2025-07-30 06:31:04;Alegría
Adriana Huanca;https://www.tiktok.com/@adrianahuanca4/video/7354011532155489541?comment_id=7535687513009652487;🥰;2025-08-07 03:56:22;Alegría
fornais;https://www.tiktok.com/@krikri__1/video/7354011532155489541?comment_id=7552764199015203640;🥰;2025-09-22 04:23:02;Alegría
Andara Garcia;https://www.tiktok.com/@andaragarcia4/video/7354011532155489541?comment_id=7554489461523989279;😂😂😂;2025-09-26 19:57:54;Alegría
mmgalch;https://www.tiktok.com/@bymerchegc/video/7354011532155489541?comment_id=7559389473710293782;🙏🏻;2025-10-10 00:53:28;Alegría
Sol Bulacio;https://www.tiktok.com/@solyoutube24/video/7354011532155489541?comment_id=7584074497650803467;Ojalá la gente lo entendiera;2025-12-15 13:22:37;Tristeza
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
